Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10",1206,2,47uF,C96123
"C11, C12, C13, C14, C18, C2, C3, C4, C5, C6, C7, C8",0805,12,0.1uF,C49678
C15,0805,1,10uF,C15850
"C16, C17",0805,2,2.2uF,C377773
"C19, C20",0805,2,2.2nF,C28260
C9,0805,1,1uF,C28323
D1,D_SOD-123,1,D_Schottky,C8598
"FB1, FB2",0805,2,1KOhm @ 100MHz,C85835
FOX1,Fox_avatar_18mm,1,SYM_Flash_Large,DNF
"H10, H7, H8, H9",MountingHole_2mm,4,MountingHole,DNF
"H3, H4, H5, H6",MountingHole_3.2mm_M3_Pad_TopBottom,4,MountingHole_Pad,DNF
I2S_DAC1,PinHeader_1x06_P2.54mm_Vertical,1,GY PCM5102,DNF
J1,PinSocket_2x32_P2.54mm_Vertical,1,Conn_02x32_Odd_Even,DNF
"J10, J9",PinSocket_2x30_P2.00mm_Vertical,2,Conn_02x30_Row_Letter_First,DNF
"J11, J12",Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,2,AudioJack3,DNF
J2,PinSocket_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,DNF
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,DNF
J4,PinHeader_2x09_P2.54mm_Vertical,1,IRQDMA_JP,DNF
J5,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,DNF
J6,PinHeader_1x02_P2.54mm_Vertical,1,UART_TX,DNF
"R1, R2, R6",0805,3,15K,C17475
"R10, R9",0603,2,0R,DNF
"R3, R4",0805,2,220,C5120092
R5,0805,1,1K,C17513
"R7, R8",0805,2,470,C17710
"U1, U2",TSSOP-16_4.4x5mm_P0.65mm,2,SN74CB3T3257,C544573
U10,SOT-23-5,1,74LVC1G00,C7826
U22,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5100,C131154
U23,SO-14_3.9x8.65mm_P1.27mm,1,74AHC14,C5510
U3,SOT-23-6,1,74LVC2G06,C402162
U5,RPi_Pico_SMD_TH,1,Pico,DNF
U6,SO-14_3.9x8.65mm_P1.27mm,1,74LVC00,C526338
U7,TSSOP-20_4.4x6.5mm_P0.65mm,1,74LVC244,C6079
U9,SOIC-8_3.9x4.9mm_P1.27mm,1,APS6404L-3SQR-SN,C139966
