Designator,Mid X,Mid Y,Rotation,Layer
C1,189.992,-124.46,180.0,top
C10,163.019,-58.42,0.0,top
C11,181.102,-119.38,270.0,top
C12,148.59,-112.014,0.0,top
C13,146.05,-119.822,0.0,top
C14,158.75,-113.03,180.0,top
C15,148.59,-109.982,180.0,top
C16,146.812,-114.996,270.0,top
C17,146.05,-117.79,180.0,top
C18,158.75,-115.57,0.0,top
C19,155.448,-123.444,270.0,top
C2,172.593,-110.109,180.0,top
C20,149.352,-123.444,270.0,top
C3,172.212,-98.933,180.0,top
C4,176.53,-86.868,0.0,top
C5,166.624,-84.201,180.0,top
C6,176.21,-66.802,0.0,top
C7,162.56,-60.96,0.0,top
C8,133.604,-54.102,90.0,top
C9,186.69,-106.934,180.0,top
D1,164.592,-55.372,0.0,top
FB1,139.446,-115.57,270.0,top
FB2,135.128,-115.57,270.0,top
R1,190.246,-99.06,270.0,top
R2,183.134,-96.52,0.0,top
R3,139.446,-111.76,270.0,top
R4,135.128,-111.76,90.0,top
R5,179.07,-119.38,90.0,top
R6,176.53,-119.38,90.0,top
R7,153.416,-123.444,270.0,top
R8,151.384,-123.444,270.0,top
U1,172.72,-71.12,270.0,top
U10,190.246,-103.378,270.0,top
U2,172.72,-90.805,270.0,top
U22,152.4,-117.094,270.0,top
U23,179.578,-101.854,90.0,top
U3,190.246,-110.49,270.0,top
U6,179.578,-112.776,90.0,top
U7,172.72,-81.28,90.0,top
U9,129.54,-52.07,180.0,top
